,city,location,restaurant_name,res_speed,res_service,res_flavour
174,ankara,pursaklar,han çorba,9.7,9.4,9.7
175,ankara,seyranbağları,cajun time,9.5,9.6,9.4
176,ankara,çankaya,azzazz bir adana hikayesi,9.1,9.1,9.1
177,ankara,beşevler,korykos mersin tantuni,9.3,9.3,9.2
178,ankara,yenimahalle,meşhur adıyaman çiğ köftecisi ömer aybak,9.4,9.6,9.2
179,ankara,dikmen,meşhur adıyaman çiğ köftecisi ahmet aybak,9.6,9.6,9.5
180,ankara,batıkent,tavuk dünyası,9.3,9.3,9.2
181,ankara,akyurt,akın pide,9.5,9.6,9.5
182,ankara,cebeci,farm burger,9.3,9.3,9.3
183,ankara,çankaya,kürek pide,9.1,9.4,9.1
184,ankara,subayevleri,mavi tuna pasta & bistro,9.2,9.2,9.1
185,ankara,çankaya,meşhur fazıl usta sokak lezzetcisi,9.4,9.1,9.1
186,ankara,yukarı ayrancı,abant su,9.7,9.7,9.8
187,ankara,etimesgut,pastannecim,9.2,9.4,9.3
188,ankara,çayyolu,pizza today,9.4,9.3,9.3
189,ankara,çayyolu,casa la pizza,9.4,9.1,9.1
190,ankara,keçiören,meşhur adıyaman çiğ köftecisi samet usta,9.6,9.4,9.4
191,ankara,etimesgut,komagene etsiz çiğ köfte,9.1,9.1,9.1
192,ankara,çankaya,fuska su,9.3,9.7,9.7
193,ankara,sincan,camuzoğlu künefe,9.8,9.3,9.2
194,ankara,çankaya,gaziantep seç baklava,9.4,9.6,9.3
195,ankara,etlik,meşhur adıyaman çiğ köftecisi,9.4,9.2,9.3
196,ankara,etimesgut,gümüş doğal kaynak suyu,9.6,9.6,9.6
197,ankara,küçükesat,antakya 326 dürüm,9.5,9.5,9.3
198,ankara,mamak,janti tost,9.5,9.4,9.4
199,ankara,çankaya,bilkent york street food company,9.4,9.5,9.2
200,ankara,sincan,komagene etsiz çiğ köfte,9.1,9.2,9.1
201,ankara,çankaya,timya karadeniz pide,9.1,9.1,9.1
202,ankara,keçiören,dürümle,9.4,9.3,9.2
203,ankara,etimesgut,bolu ala mangal keyf-i,9.5,9.8,9.5
204,ankara,çankaya,bakermill burger,9.3,9.3,9.1
205,ankara,çankaya,beşevler hamsi tavacısı,9.4,9.2,9.1
206,ankara,çankaya,pınar su,9.9,9.8,9.9
207,ankara,balgat,öyküm pide & kebap & ev yemekleri,9.4,9.7,9.5
208,ankara,yenimahalle,boomerang pizza,9.6,9.4,9.2
209,ankara,çankaya,look burger,9.7,9.7,9.5
210,ankara,emek,saçmelii,9.1,9.3,9.2
211,ankara,etimesgut,komagene etsiz çiğ köfte,9.6,9.6,9.5
212,ankara,yenimahalle,abant mangal & dürüm evi,9.4,9.4,9.2
213,ankara,gölbaşı,cosmos burger,9.1,9.3,9.2
214,ankara,keçiören,kıtır,9.5,9.9,9.2
215,ankara,çankaya,kordon kuzu kelle söğüş - söğüşçü reco,9.8,9.7,9.9
216,ankara,çankaya,big baker burger & bakery,9.2,9.1,9.1
217,ankara,çankaya,meşhur pideci i̇lhan usta 1,9.5,9.5,9.5
218,ankara,yenimahalle,derin mantı,9.7,9.8,9.6
219,ankara,çankaya,zeynel muhallebicisi,9.1,9.2,9.3
220,ankara,çankaya,buzdağı su,9.5,9.7,9.7
221,ankara,kırkkonaklar,saka su,9.3,9.3,9.3
222,ankara,turan güneş bulv.,papa john's pizza,9.2,9.1,9.1
223,ankara,etimesgut,pınar su,9.8,9.8,9.8
224,ankara,etimesgut,saka su,9.3,9.4,9.6
225,ankara,çankaya,tavuk dünyası,9.2,9.5,9.4
226,ankara,sincan,komagene etsiz çiğ köfte,9.6,9.6,9.7
227,ankara,çankaya,kraz,9.5,9.6,9.3
228,ankara,çankaya,fess burger,9.5,9.3,9.2
229,ankara,yenimahalle,nazende künefe,9.8,9.8,9.8
230,ankara,batıkent,abone pide kebap,9.4,9.2,9.1
231,ankara,söğütözü,köz biber ocakbaşı,9.3,9.3,9.1
232,ankara,çankaya,oran aspava,9.1,9.1,9.1
233,ankara,tunalı,aloha burger & kitchen,9.1,9.2,9.1
234,ankara,çankaya,mash burger & fried chicken,9.6,9.4,9.2
235,ankara,çankaya,abi 63 beyzade lahmacun,9.3,9.3,9.2
236,ankara,çayyolu,tandır but,9.4,9.4,9.3
237,ankara,gölbaşı,angry waffle,9.1,9.4,9.2
238,ankara,keçiören,komagene etsiz çiğ köfte,9.3,9.3,9.3
239,ankara,altındağ,tatlı evi,9.7,9.6,9.1
240,ankara,sincan,merkez döner,10.0,10.0,10.0
241,ankara,balgat,ham - buga kasap burger,9.8,9.8,9.7
242,ankara,etimesgut,azze tantuni,9.4,9.4,9.4
243,ankara,bilkent 1,pizza i̇l forno,9.3,9.1,9.1
244,ankara,çankaya,white bear,9.4,9.2,9.1
245,ankara,çayyolu,la vita pizzeria,9.5,9.4,9.2
246,ankara,konutkent,burger & pizza cook,9.3,9.5,9.3
247,ankara,etimesgut,deli dolu kumru & ayvalık,9.1,9.2,9.1
248,ankara,mamak,saka su,9.4,9.5,9.6
249,ankara,ayvalı,beyzade pide & lahmacun,9.3,9.1,9.1
250,ankara,çayyolu,sb aspava,9.5,9.4,9.3
251,ankara,yenimahalle,i̇pek yolu döner & pide & kebap,9.4,9.2,9.2
252,ankara,çankaya,noodle pan,9.4,9.5,9.2
253,ankara,çankaya,city wok,9.3,9.5,9.3
254,ankara,çankaya,subway,9.4,9.5,9.2
255,ankara,g.o.p,macarons d'antoinette,9.3,9.7,9.5
256,ankara,sokullu,javsu,9.8,9.8,9.7
257,ankara,yenimahalle,alish burger & cajun tavuk,9.2,9.2,9.1
258,ankara,yenimahalle,tolga balık pişirme evi,9.7,9.5,9.5
259,ankara,100. yıl,aynen pilav,9.4,9.4,9.2
260,ankara,bilkent merkez kampüs,sofa,9.7,9.7,9.2
