,city,location,restaurant_name,menu,price
27154,ankara,etimesgut,pastannecim,Karışık Petifür (1 kg.) - .,"59,00 TL"
27155,ankara,etimesgut,pastannecim,Mini Ekler (1 kg.) - .,"59,00 TL"
27156,ankara,etimesgut,pastannecim,Mini Ekler (500 gr.) - .,"29,50 TL"
27157,ankara,etimesgut,pastannecim,Tatlı & Tuzlu Kuru Pasta (500 gr.),"24,50 TL"
27158,ankara,çayyolu,pizza today,2'li Büyük Menü,"69,90 TL"
27159,ankara,çayyolu,pizza today,Avantajlı 17 + 17 + 17 Menü,"57,00 TL"
27160,ankara,çayyolu,pizza today,Dürüm Menü,"25,90 TL"
27161,ankara,çayyolu,pizza today,2'li Orta Menü,"53,90 TL"
27162,ankara,çayyolu,pizza today,Büyük Menü,"43,90 TL"
27163,ankara,çayyolu,pizza today,Double Büyük Menü,"84,90 TL"
27164,ankara,çayyolu,pizza today,Double Orta Menü,"64,90 TL"
27165,ankara,çayyolu,pizza today,Orta Menü,"28,90 TL"
27166,ankara,çayyolu,pizza today,Sandviç Menü,"27,90 TL"
27167,ankara,çayyolu,pizza today,Single Büyük Menü,"57,90 TL"
27168,ankara,çayyolu,pizza today,Single Orta Menü,"36,90 TL"
27169,ankara,çayyolu,pizza today,Today's Party Menü,"169,90 TL"
27170,ankara,çayyolu,pizza today,Triple Büyük Menü,"111,90 TL"
27171,ankara,çayyolu,pizza today,Triple Orta Menü,"81,90 TL"
27172,ankara,çayyolu,pizza today,Acımtrak Pizza (Büyük),"37,90 TL"
27173,ankara,çayyolu,pizza today,Dönerimo Pizza (Büyük),"39,90 TL"
27174,ankara,çayyolu,pizza today,Hawaii Pizza (Büyük),"38,90 TL"
27175,ankara,çayyolu,pizza today,BBQ Chicken Pizza (Büyük),"38,90 TL"
27176,ankara,çayyolu,pizza today,Buffalo Chicken Pizza (Büyük),"39,90 TL"
27177,ankara,çayyolu,pizza today,Çıtır Tavuklu Pizza (Büyük),"38,90 TL"
27178,ankara,çayyolu,pizza today,Egeden Pizza (Büyük),"37,90 TL"
27179,ankara,çayyolu,pizza today,Favori Pizza (Büyük),"37,90 TL"
27180,ankara,çayyolu,pizza today,Italiano Pizza (Büyük),"38,90 TL"
27181,ankara,çayyolu,pizza today,Karışık Pizza (Büyük),"38,90 TL"
